rotten_tomatoes_link,movie_title,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,release_year,streaming_release_year
m/0814255,Percy Jackson & the Olympians: The Lightning Thief,Rotten,49.0,149.0,Spilled,53.0,254421.0,43,73,76,2010,2015
m/0878835,Please Give,Fresh,87.0,142.0,Upright,64.0,11574.0,44,123,19,2010,2012
m/10,10,Fresh,67.0,24.0,Spilled,53.0,14684.0,2,16,8,1979,2014
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Fresh,100.0,54.0,Upright,97.0,105386.0,6,54,0,1957,2017
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",Fresh,89.0,27.0,Upright,74.0,68918.0,5,24,3,1954,2016
m/10000_bc,"10,000 B.C.",Rotten,8.0,149.0,Spilled,37.0,411140.0,37,12,137,2008,2013
m/1000121-39_steps,The 39 Steps,Fresh,96.0,51.0,Upright,86.0,23890.0,8,49,2,1935,2017
m/1000123-310_to_yuma,3:10 to Yuma,Fresh,96.0,28.0,Upright,79.0,9243.0,6,27,1,1957,2012
m/10002008-charly,Charly (A Heartbeat Away),Rotten,20.0,10.0,Upright,87.0,4819.0,0,2,8,2002,2017
m/1000204-abraham_lincoln,Abraham Lincoln,Fresh,82.0,11.0,Spilled,40.0,457.0,4,9,2,1930,2013
m/10002114-dark_water,Dark Water,Fresh,80.0,15.0,Upright,66.0,21475.0,3,12,3,2002,2017
m/1000224-accused,The Accused,Fresh,91.0,22.0,Upright,79.0,20821.0,1,20,2,1988,2016
m/10002516-lost_city,The Lost City,Rotten,25.0,83.0,Upright,64.0,25944.0,37,21,62,2005,2017
m/10002519-breaking_point,The Breaking Point,Fresh,100.0,10.0,Upright,86.0,335.0,1,10,0,1950,2016
m/1000253-adams_rib,Adam's Rib,Fresh,96.0,28.0,Upright,86.0,10563.0,6,27,1,1949,2008
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,Rotten,4.0,24.0,Spilled,35.0,1935.0,13,1,23,2005,2014
m/10002673-prowler,The Prowler (Cost of Living ),Fresh,100.0,18.0,Upright,86.0,286.0,6,18,0,1951,2016
m/10003276-criminal,Criminal,Fresh,69.0,124.0,Spilled,57.0,6711.0,35,85,39,2004,2016
m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,Fresh,80.0,5.0,Upright,82.0,1046.0,1,4,1,1985,2017
m/10003437-deep_blue,Deep Blue,Fresh,67.0,52.0,Upright,80.0,4692.0,18,35,17,2005,2016
m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,Fresh,100.0,48.0,Upright,89.0,33946.0,8,48,0,1938,2014
m/10003876-man_hunt,Man Hunt,Fresh,92.0,12.0,Upright,75.0,554.0,0,11,1,1941,2014
m/10003925-dead_end,Dead End,Fresh,75.0,8.0,Upright,60.0,10373.0,1,6,2,2003,2018
m/10004069-whore,Whore,Rotten,0.0,6.0,Upright,63.0,914.0,4,0,6,2004,2014
m/10004209-tristan_and_isolde,Tristan & Isolde,Rotten,31.0,121.0,Upright,71.0,220956.0,36,38,83,2006,2015
m/10004226-wild_side,Wild Side,Fresh,63.0,16.0,Upright,80.0,867.0,4,10,6,2005,2005
m/10004288-running_scared,Running Scared,Rotten,41.0,131.0,Upright,79.0,135400.0,39,54,77,2006,2008
m/10004352-going_the_distance,Going the Distance,Rotten,0.0,5.0,Upright,61.0,13033.0,2,0,5,2004,2017
m/10004504-ultraviolet,Ultraviolet,Rotten,8.0,83.0,Spilled,30.0,279994.0,21,7,76,2006,2012
m/10004635-home_of_the_brave,Home of the Brave,Fresh,93.0,15.0,Spilled,48.0,866.0,7,14,1,2004,2016
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Rotten,22.0,92.0,Spilled,56.0,134483.0,30,20,72,2007,2016
m/10004684-malevolence,Malevolence,Rotten,33.0,18.0,Upright,83.0,2622.0,4,6,12,2004,2017
m/10004697-eternal,Eternal,Rotten,21.0,34.0,Spilled,39.0,1295.0,10,7,27,2004,2016
m/10004835-farewell_to_arms,A Farewell To Arms,Rotten,0.0,12.0,Spilled,37.0,1460.0,6,0,12,1957,2012
m/10004890-narrow_margin,The Narrow Margin,Fresh,100.0,11.0,Upright,88.0,1135.0,0,11,0,1952,2012
m/10004925-matador,The Matador,Fresh,75.0,156.0,Upright,65.0,73701.0,39,117,39,2006,2016
m/10005057-smile,Smile,Rotten,15.0,13.0,Upright,66.0,2059.0,6,2,11,2005,2016
m/10005104-intruder,The Intruder (L'Intrus),Fresh,87.0,30.0,Upright,73.0,9701.0,10,26,4,2005,2006
m/10005178-saint_ralph,Saint Ralph,Fresh,64.0,69.0,Upright,85.0,6203.0,26,44,25,2005,2017
m/10005403-the_baxter,The Baxter,Rotten,32.0,75.0,Upright,75.0,7436.0,25,24,51,2005,2018
m/10005499-oliver_twist,Oliver Twist,Fresh,61.0,143.0,Upright,63.0,23294.0,39,87,56,2005,2012
m/1000560-alamo,The Alamo,Rotten,52.0,21.0,Upright,63.0,7337.0,4,11,10,1960,2016
m/10005755-g,G,Rotten,24.0,29.0,Upright,60.0,1143.0,17,7,22,2005,2018
m/1000580-alexander_the_great,Alexander the Great,Rotten,0.0,8.0,Spilled,42.0,5383.0,1,0,8,1956,2017
m/1000581-alfie,Alfie,Fresh,96.0,27.0,Upright,76.0,14669.0,6,26,1,1966,2013
m/10005819-10005819-neverwas,Neverwas,Rotten,14.0,7.0,Upright,65.0,4059.0,1,1,6,2005,2016
m/10006007-the_second_chance,The Second Chance,Rotten,44.0,16.0,Upright,78.0,79542.0,8,7,9,2006,2006
m/10006057-moonlight,Moonlight,Fresh,60.0,10.0,Upright,67.0,1430.0,6,6,4,2003,2020
m/1000617-aliens,Aliens,Fresh,97.0,76.0,Upright,94.0,429674.0,17,74,2,1986,2015
m/10006188-rise,Rise: Blood Hunter,Rotten,36.0,14.0,Spilled,20.0,8239.0,2,5,9,2007,2016
m/1000626-all_about_eve,All About Eve,Fresh,99.0,77.0,Upright,94.0,45248.0,22,76,1,1950,2015
m/10006270,When Do We Eat?,Rotten,42.0,38.0,Upright,68.0,1121.0,19,16,22,2006,2017
m/10006324,The Mostly Unfabulous Social Life of Ethan Green,Rotten,30.0,27.0,Spilled,58.0,2394.0,13,8,19,2006,2017
m/10006343-dirty,Dirty,Rotten,21.0,28.0,Spilled,42.0,7326.0,10,6,22,2006,2012
m/10006370-stay_alive,Stay Alive,Rotten,10.0,59.0,Spilled,55.0,113424.0,18,6,53,2006,2016
m/1000640-all_of_me,All of Me,Fresh,85.0,41.0,Upright,67.0,14346.0,10,35,6,1984,2016
m/10006434-dreamland,Dreamland,Fresh,67.0,15.0,Upright,65.0,5650.0,5,10,5,2006,2012
m/1000654-all_the_kings_men,All the King's Men,Fresh,95.0,42.0,Upright,78.0,4866.0,9,40,2,1949,2013
m/10006588-street_fight,Street Fight,Fresh,100.0,22.0,Upright,93.0,2989.0,11,22,0,2005,2016
m/10006780-lost_horizon,Lost Horizon,Rotten,20.0,5.0,Spilled,45.0,455.0,2,1,4,1973,2015
m/10006848-the_motel,The Motel,Fresh,88.0,32.0,Upright,64.0,4038.0,14,28,4,2005,2017
m/10006849-once_in_a_lifetime,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Fresh,81.0,59.0,Upright,80.0,1416.0,22,48,11,2006,2016
m/10006856-requiem,Requiem,Fresh,86.0,36.0,Upright,66.0,4728.0,17,31,5,2006,2017
m/10007139-park,Park,Rotten,36.0,11.0,Spilled,48.0,684.0,6,4,7,2006,2017
m/10007333-bon_cop_bad_cop,"Bon Cop, Bad Cop",Fresh,78.0,9.0,Upright,82.0,20404.0,2,7,2,2006,2017
m/10007415-amazing_grace,Amazing Grace,Fresh,67.0,126.0,Upright,85.0,54320.0,37,85,41,2007,2015
m/10007614-gone,Gone,Rotten,54.0,13.0,Spilled,20.0,3329.0,4,7,6,2007,2014
m/10007714-situation,The Situation,Rotten,35.0,48.0,Spilled,58.0,2381.0,25,17,31,2006,2007
m/10007856-four_sheets_to_the_wind,Four Sheets to the Wind,Fresh,100.0,7.0,Upright,61.0,519.0,2,7,0,2007,2016
m/10007886-the_tigers_tail,The Tiger's Tail,Rotten,14.0,21.0,Spilled,30.0,660.0,5,3,18,2006,2016
m/10007893-its_a_boy_girl_thing,It's a Boy Girl Thing,Fresh,67.0,9.0,Upright,61.0,30371.0,0,6,3,2006,2016
m/10007898-slipstream,Slipstream,Rotten,25.0,40.0,Spilled,29.0,3523.0,14,10,30,2007,2012
m/10007902-delirious,Delirious,Fresh,83.0,63.0,Spilled,57.0,8464.0,25,52,11,2007,2020
m/10007916_interview,Interview,Rotten,58.0,125.0,Spilled,55.0,25860.0,44,72,53,2007,2012
m/1000792-american_anthem,American Anthem,Rotten,0.0,16.0,Upright,65.0,1341.0,6,0,16,1986,2013
m/10007947-ten,The Ten,Rotten,35.0,82.0,Spilled,40.0,77951.0,28,29,53,2007,2016
m/10007985-happening,The Happening,Rotten,17.0,183.0,Spilled,24.0,370222.0,42,32,151,2008,2015
m/10008005-moliere,Molière,Fresh,69.0,89.0,Upright,79.0,10937.0,32,61,28,2007,2014
m/10008140-borderland,Borderland,Fresh,100.0,8.0,Spilled,43.0,4194.0,0,8,0,2007,2016
m/10008200-spiral,Spiral,Rotten,55.0,11.0,Spilled,59.0,9001.0,1,6,5,2007,2017
m/10008234-alexandra,Alexandra,Fresh,88.0,59.0,Upright,69.0,1333.0,24,52,7,2007,2015
m/10008390_blood_and_tears,Blood and Tears: The Arab-Israeli Conflict,Rotten,50.0,6.0,Spilled,33.0,1719.0,2,3,3,2007,2007
m/10008423-cool_school,The Cool School,Fresh,92.0,26.0,Upright,63.0,514.0,12,24,2,2008,2017
m/10008496-pathology,Pathology,Rotten,45.0,22.0,Spilled,39.0,49454.0,6,10,12,2008,2017
m/10008502-christmas_carol,Disney's A Christmas Carol,Rotten,52.0,201.0,Spilled,58.0,776189.0,47,105,96,2009,2015
m/10008507-deep_water,Deep Water,Fresh,96.0,55.0,Upright,87.0,4961.0,22,53,2,2006,2017
m/10008562-road_to_victory,Road to Victory,Fresh,78.0,9.0,Upright,78.0,89.0,0,7,2,2007,2016
m/10008587-beverly_hills_chihuahua,Beverly Hills Chihuahua,Rotten,40.0,99.0,Spilled,52.0,186570.0,29,40,59,2008,2015
m/10008601-fireflies_in_the_garden,Fireflies in the Garden,Rotten,22.0,54.0,Spilled,45.0,45155.0,23,12,42,2011,2014
m/10008606-eye,The Eye,Rotten,21.0,80.0,Spilled,43.0,303458.0,13,17,63,2008,2016
m/10008607-day_of_the_dead,Day of the Dead,Rotten,13.0,8.0,Spilled,22.0,11098.0,0,1,7,2008,2016
m/10008611-my_best_friends_girl,My Best Friend's Girl,Rotten,14.0,59.0,Spilled,46.0,86594.0,17,8,51,2008,2016
m/10008613-burrowers,The Burrowers,Fresh,75.0,12.0,Spilled,34.0,10869.0,1,9,3,2008,2016
m/10008617-midnight_meat_train,The Midnight Meat Train,Fresh,73.0,33.0,Spilled,50.0,143577.0,5,24,9,2008,2016
m/10008618-return,The Lucky Ones,Rotten,37.0,75.0,Spilled,54.0,11792.0,29,28,47,2008,2016
m/10008621-run_fat_boy_run,Run Fatboy Run,Rotten,47.0,154.0,Upright,64.0,102884.0,39,72,82,2007,2010
m/10008652-closing_escrow,Closing Escrow,Rotten,54.0,13.0,Spilled,36.0,1123.0,7,7,6,2007,2016
m/10008655-whiteout,Whiteout,Rotten,7.0,116.0,Spilled,21.0,538861.0,28,8,108,2009,2011
m/10008661-randy_and_the_mob,Randy and the Mob,Rotten,56.0,9.0,Spilled,39.0,288.0,4,5,4,2007,2017
m/10008667-black_irish,Black Irish,Rotten,31.0,13.0,Spilled,58.0,1685.0,3,4,9,2007,2020
m/10008678-wild_child,Wild Child,Rotten,41.0,27.0,Upright,61.0,17496.0,9,11,16,2008,2014
m/10008687-powder_blue,Powder Blue,Rotten,25.0,8.0,Spilled,40.0,7416.0,2,2,6,2009,2017
m/10008698-king_corn,King Corn,Fresh,96.0,26.0,Upright,78.0,3201.0,12,25,1,2007,2016
m/10008700-darfur_now,Darfur Now,Fresh,73.0,59.0,Upright,73.0,2308.0,29,43,16,2007,2008
m/10008701-laaga_chunari_mein_daag,Laaga Chunari Mein Daag - Journey of a Woman,Rotten,50.0,6.0,Spilled,58.0,3785.0,1,3,3,2007,2017
m/10008703-rails_and_ties,Rails & Ties,Rotten,34.0,47.0,Spilled,58.0,10100.0,22,16,31,2007,2009
m/10008706-house,House,Rotten,0.0,13.0,Spilled,27.0,16715.0,1,0,13,2008,2016
m/10008744-canvas,Canvas,Fresh,78.0,27.0,Upright,62.0,571.0,16,21,6,2007,2016
m/10008748-saawariya,Saawariya,Rotten,38.0,21.0,Spilled,46.0,5828.0,10,8,13,2007,2012
m/10008752-aaja_nachle,Aaja Nachle,Fresh,67.0,6.0,Upright,72.0,4354.0,2,4,2,2007,2017
m/10008754-flawless,Flawless,Rotten,55.0,95.0,Spilled,54.0,12577.0,29,52,43,2008,2017
m/10008760-what_happens_in_vegas,What Happens in Vegas,Rotten,26.0,133.0,Upright,65.0,501711.0,38,34,99,2008,2012
m/10008785-appaloosa,Appaloosa,Fresh,76.0,164.0,Spilled,55.0,55694.0,43,125,39,2008,2010
m/10008786-good,Good,Rotten,32.0,71.0,Spilled,32.0,41569.0,27,23,48,2008,2016
m/10008830-bill,Meet Bill,Rotten,20.0,20.0,Spilled,44.0,8165.0,6,4,16,2008,2016
m/10008849-married_life,Married Life,Rotten,54.0,118.0,Spilled,36.0,5083.0,38,64,54,2008,2014
m/10008856-badland,Badland,Rotten,16.0,19.0,Spilled,54.0,294.0,7,3,16,2007,2017
m/10008924-oxford_murders,The Oxford Murders,Rotten,17.0,12.0,Spilled,33.0,14554.0,3,2,10,2010,2017
m/10008954-untraceable,Untraceable,Rotten,16.0,148.0,Spilled,52.0,225138.0,41,24,124,2008,2012
m/10008991-informers,The Informers,Rotten,12.0,105.0,Spilled,18.0,18505.0,38,13,92,2009,2012
m/10008992-meeting_resistance,Meeting Resistance,Fresh,82.0,22.0,Spilled,47.0,200.0,11,18,4,2007,2008
m/10009001-the_freshman,The Freshman,Fresh,94.0,49.0,Upright,61.0,11850.0,17,46,3,1990,2013
m/10009029-kenny,Kenny,Fresh,100.0,25.0,Upright,86.0,8978.0,11,25,0,2008,2020
m/10009055-rocker,The Rocker,Rotten,41.0,123.0,Spilled,46.0,44190.0,39,50,73,2008,2015
m/10009063-perfect_holiday,The Perfect Holiday,Rotten,19.0,59.0,Spilled,52.0,159645.0,25,11,48,2007,2012
m/10009066-la_graine_et_le_mulet,La Graine et le Mulet (The Secret of the Grain) (Couscous),Fresh,93.0,54.0,Upright,76.0,9062.0,19,50,4,2007,2017
m/10009083-land_of_the_lost,Land of the Lost,Rotten,26.0,190.0,Spilled,32.0,542684.0,50,49,141,2009,2015
m/10009132-rec,[Rec],Fresh,89.0,37.0,Upright,82.0,50437.0,5,34,4,2007,2012
m/10009138-look,Look,Fresh,60.0,35.0,Spilled,56.0,709.0,11,21,14,2007,2009
m/1000915-and_god_created_woman,And God Created Woman,Rotten,38.0,8.0,Spilled,33.0,1598.0,1,3,5,1988,2016
m/10009151-box,The Box,Rotten,44.0,155.0,Spilled,24.0,359098.0,30,68,87,2009,2011
m/10009169-man_in_the_chair,Man in the Chair,Rotten,50.0,36.0,Upright,68.0,931.0,15,18,18,2007,2016
m/10009172-undoing,Undoing,Rotten,31.0,13.0,Spilled,26.0,372.0,5,4,9,2006,2017
m/10009176-black_water,Black Water,Fresh,80.0,20.0,Spilled,39.0,3952.0,8,16,4,2008,2012
m/10009192-21,21,Rotten,35.0,170.0,Upright,66.0,367852.0,40,60,110,2008,2012
m/10009210-duchess_of_langeais,The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),Fresh,70.0,66.0,Spilled,52.0,865.0,30,46,20,2007,2017
