rotten_tomatoes_link,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,release_year,streaming_release_year,release_month,streaming_month
m/0814255,Rotten,49.0,149.0,Spilled,53.0,254421.0,43,73,76,2010,2015,2,11
m/0878835,Fresh,87.0,142.0,Upright,64.0,11574.0,44,123,19,2010,2012,4,9
m/10,Fresh,67.0,24.0,Spilled,53.0,14684.0,2,16,8,1979,2014,10,7
m/1000013-12_angry_men,Fresh,100.0,54.0,Upright,97.0,105386.0,6,54,0,1957,2017,4,1
m/1000079-20000_leagues_under_the_sea,Fresh,89.0,27.0,Upright,74.0,68918.0,5,24,3,1954,2016,1,6
m/10000_bc,Rotten,8.0,149.0,Spilled,37.0,411140.0,37,12,137,2008,2013,3,6
m/1000121-39_steps,Fresh,96.0,51.0,Upright,86.0,23890.0,8,49,2,1935,2017,8,1
m/1000123-310_to_yuma,Fresh,96.0,28.0,Upright,79.0,9243.0,6,27,1,1957,2012,8,4
m/10002008-charly,Rotten,20.0,10.0,Upright,87.0,4819.0,0,2,8,2002,2017,9,5
m/1000204-abraham_lincoln,Fresh,82.0,11.0,Spilled,40.0,457.0,4,9,2,1930,2013,11,12
m/10002114-dark_water,Fresh,80.0,15.0,Upright,66.0,21475.0,3,12,3,2002,2017,1,3
m/1000224-accused,Fresh,91.0,22.0,Upright,79.0,20821.0,1,20,2,1988,2016,10,10
m/10002516-lost_city,Rotten,25.0,83.0,Upright,64.0,25944.0,37,21,62,2005,2017,9,3
m/10002519-breaking_point,Fresh,100.0,10.0,Upright,86.0,335.0,1,10,0,1950,2016,10,8
m/1000253-adams_rib,Fresh,96.0,28.0,Upright,86.0,10563.0,6,27,1,1949,2008,11,5
m/10002635-bridge_of_san_luis_rey,Rotten,4.0,24.0,Spilled,35.0,1935.0,13,1,23,2005,2014,6,7
m/10002673-prowler,Fresh,100.0,18.0,Upright,86.0,286.0,6,18,0,1951,2016,12,12
m/10003276-criminal,Fresh,69.0,124.0,Spilled,57.0,6711.0,35,85,39,2004,2016,9,4
m/1000334-adventures_of_mark_twain,Fresh,80.0,5.0,Upright,82.0,1046.0,1,4,1,1985,2017,3,2
m/10003437-deep_blue,Fresh,67.0,52.0,Upright,80.0,4692.0,18,35,17,2005,2016,6,12
m/1000355-adventures_of_robin_hood,Fresh,100.0,48.0,Upright,89.0,33946.0,8,48,0,1938,2014,5,1
m/10003876-man_hunt,Fresh,92.0,12.0,Upright,75.0,554.0,0,11,1,1941,2014,1,3
